,index,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,landmark_63,landmark_64,landmark_65,landmark_66,landmark_67
0,frame 0 - 1,13.021901805776835,13.937864013342839,16.121364143208915,18.28937602845445,21.21759984935495,24.154706373606988,25.479727919245697,25.870185552062228,24.91248433374853,21.774636714984613,17.143893715138816,14.547682118486412,12.716379817477922,12.321428571428555,11.929081149485315,11.332964106035659,10.884937117688468,29.38940483562402,36.77595183099567,39.451633510006864,37.71575629533359,34.366010560098594,29.837910854797503,31.010844200641646,28.774232291550728,24.649556986740276,21.079620382816135,32.276716346006246,33.08605175499503,34.46703277543038,35.877806654320985,33.285481898747626,33.184726329163546,32.966808263886236,32.26210445633102,30.186237128319846,34.5442003113103,39.364506808591685,37.71025277256827,30.69909257304842,31.285026288912714,33.03219158870087,27.943578379229745,32.72899366617918,31.85223942965352,26.559013326290547,26.16038521195492,27.09873454758408,33.055399083749116,34.349320693437164,33.82193735943525,33.92990176241381,32.86551447982993,30.059636740300455,25.341883125239388,27.46545760679287,30.406966255503043,31.50017299067128,31.747663786474828,32.709287682235846,32.91587413897266,34.01158941245155,34.18115396057541,32.84796676234678,26.738630920983205,30.210591135381385,30.957101860675614,31.155090993018117
1,frame 1 - 2,14.258356741274593,16.102589940061755,18.481977033225913,19.94559280481785,22.929807611436814,27.176230657600456,30.698759457013033,33.0463710825161,33.606031643319504,31.955231159692566,27.488918221712545,23.609424042702074,20.590231293420523,18.735394916460567,17.83824893312121,16.663707220243527,15.6894193588735,31.4120091866968,39.4327717490388,42.023514433066204,41.514827505094814,39.3866308452805,36.135894382342194,35.84316824376113,33.19876322724381,29.473678757706377,25.67223813657552,37.083723150133366,38.13087107687985,39.38664029071305,40.83028587822963,38.669936397789286,38.4512844455189,38.8654582496418,37.742797232238026,35.37099746592815,36.29625879863897,40.4861091663652,38.82389450558119,34.030011785150855,34.347241936262066,36.02428407848444,31.296632440208416,34.019096548683684,33.01686935691386,29.17804685662403,28.900812176207868,29.93777560479847,36.54618085040582,37.69624576061183,38.18078796259246,38.380852682134474,36.89238079564634,33.386225043807194,28.076654088737058,31.55212512742506,35.12473723080186,36.7371390063191,36.73151780841902,36.53723483623876,36.74278200515656,38.153084800820395,38.359104764936156,36.99940102245449,29.244706698784967,34.87097665330157,36.3687831219437,35.93040610750017
2,frame 2 - 3,15.454662896909701,16.129154830931043,16.123620306006572,16.118214736872954,17.426831164742627,20.702586974530913,23.94627945665767,26.189330661909366,26.623123239036353,25.54290669921157,22.724116258080166,19.789287228287787,16.6673174804062,14.842881692500223,13.85894108270486,12.1697230019038,11.632185368857558,19.79527660277908,21.39947462785068,24.366469157735512,27.026506391878147,27.91778604720973,26.848481642040984,26.095640485808232,25.748535902549584,24.37642534270606,20.454727833081435,27.97355640006443,29.39757572790121,31.163527973907787,32.837354321610256,30.58943466248789,31.51731945486218,32.42689206109589,30.995731631335953,30.47347613801031,23.796085247254076,24.055570433757737,24.656273695143877,25.72322045976854,24.892883756827892,24.817203610425622,23.381936049548163,23.316627788509972,22.95046218307807,22.760807645367542,22.951186122822584,23.481892531469942,30.41095954798232,31.037091061815552,32.47598202190997,33.057593153549476,32.06506514538489,31.206007832088094,27.302796187154183,27.567969731544892,27.792376788066257,28.116909865926445,27.667570318227256,27.52708747127191,30.47564873572304,34.26959568255945,34.47998618494575,33.960456845163776,28.13522770874869,27.38331037298945,27.666572540000516,27.023170356401774
3,frame 3 - 4,6.959889243260578,7.484010520985146,7.237485475470913,7.690796145455953,9.608454292596027,12.645263600623666,15.243025651618991,17.4911848240444,18.18593040845874,16.584988482428994,13.067455927418274,9.868701188243021,7.614610847980707,7.049249843210132,6.513264397886722,5.38485223570368,4.773090728909777,10.99960087220726,11.760604525434076,13.152750782020796,15.03909624462778,16.12224232328941,15.178339275383316,14.719222303297467,14.310286545581011,13.364455244251992,11.230480402272025,15.746667079368134,16.887491123161073,18.16785858727658,19.863700894191453,17.496467318251643,18.427203719380945,18.985794574093777,18.059102092490548,17.386700208923223,12.524431065592786,12.883786908576278,13.39749219840014,13.559525780866002,13.486809899802541,13.463245089732238,12.157424828767459,12.199008290516742,11.718189457684904,11.318723689857666,12.13377404927225,12.483663465250048,18.577568288393703,19.37617665562406,19.928538907100997,19.757958617462155,19.74505422589646,18.332783085622086,13.491023141653796,15.974917424457532,17.986576302501046,17.895444128628895,17.742032672050442,16.85577225734115,18.20422716023708,21.42469658660498,21.333956223691978,20.966825235266132,14.267168047894517,17.992607721676244,17.64011576386238,17.636957164357643
4,frame 4 - 5,9.357556640952076,9.78570543518439,11.029487336790032,12.748235410141822,14.314813082739215,15.731178609969541,16.66741153414412,17.50675493567825,17.00551676502694,14.574566609814017,10.63447520897332,8.260172010382027,5.771282082293525,5.5089366536485125,5.976133223943573,6.638872383541252,7.9428201628687525,19.225436226347664,23.84922956089633,27.7270081734132,28.57057546398896,26.854216051731726,22.56945230870242,23.080421768059736,22.311971567199148,18.677209530981845,15.166126749341993,24.528476298146416,26.249911555531828,28.57375469971259,30.321020351365625,27.514810847182712,28.1720747304155,27.930492845655507,27.712759624148326,26.363166141617334,21.40390217498977,23.01222501193659,23.212430675606168,22.359067576225648,22.600567854019243,22.599229751648906,21.106066324296094,20.88892017186971,20.876818959640918,19.480779894605497,21.04675343678091,21.367591693260316,29.8468215928487,30.10909385066,30.79229971218068,30.983359339447645,29.22167357674367,28.561858310767583,26.334302885838607,25.819684758313738,26.411962666683365,27.040205149829937,27.35179736235532,28.09756785086527,29.785627344714594,30.066053843729147,29.661486621980128,28.307488135676515,26.757411061712798,25.413042372451287,25.62104812921183,26.214908001667776
