,index,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,landmark_63,landmark_64,landmark_65,landmark_66,landmark_67
0,frame 0 - 1,13.37374488646958,13.32788224319563,13.39235542718874,12.392837891298896,11.965999864588339,11.10116939067042,9.639614334949297,10.306765450595556,11.558884333193092,12.291190369741594,13.31306889508902,14.178242309207402,14.599822450124012,13.058611911696863,12.051517110280939,11.708250311664765,11.181402081091028,27.57071032963935,29.967767092300747,31.46163047363355,31.440259488062928,30.86515659378699,32.34629358588475,31.92654981014794,30.751087665080025,27.01615672223396,21.115118999084554,30.99738351249585,31.441516765350073,31.89182653501833,33.00242148226079,28.433577942289,28.758567710532084,29.326006239368052,28.033936135080125,27.515523923961517,32.86869766322604,40.417467761819836,38.9100908462766,30.184412926126946,29.69997168298627,30.352328084081268,27.836216922581542,36.61120289631021,36.967880698387965,28.421665879874922,26.77449231128921,26.844186952547837,14.345380469977174,24.618219259970758,30.323335115903046,30.703845580829224,30.416319484393025,27.078902485904667,23.266489914159937,19.22779682243867,17.960174447920394,18.068537232722484,17.424454201143774,15.64979734047779,15.531568562972774,26.21782045493249,27.496891089289942,26.557313623469184,23.828460488606215,20.138801801563496,19.954719451858182,18.701014181301787
1,frame 1 - 2,18.450182313083,20.564918252203437,22.70880400738385,24.173094418899883,25.972163846260262,28.992810889087977,30.833080455869602,32.343662310906026,32.887325481394534,32.02265560280441,29.857942900420294,28.233693419060536,25.64338166366631,22.374963435604407,19.872841026813752,17.855228196638357,16.663559421535428,31.52823876546179,34.44129188418875,36.692044389468116,37.22708983668164,36.83881999445932,39.68328848827812,40.2227454294332,39.23310160108751,35.95295441569551,31.89951770255939,39.82141363719606,39.78564188598592,40.07592436680269,40.68717708376347,39.49157777841836,39.835138945685365,39.711110817791464,39.24217363623211,38.06496639740764,40.89297453148362,49.531632532903956,47.32114103581769,38.081523035438735,39.78127692236598,40.59021345540865,38.125087792690906,48.076844360769556,48.4713340905445,40.85263743976505,40.19176462613095,39.33342294805042,40.60585910711105,42.130507025436806,42.234658239785645,42.21300223144645,41.7263697975458,40.48682095759805,40.31927531850486,36.74279424327859,36.523460951654414,36.85656533290135,37.47179228710773,38.98063363634049,40.311874067341044,43.03485100705242,43.263991928541785,42.74577260557624,41.070587646700574,35.34307592845894,35.14062297925124,35.1655486486514
2,frame 2 - 3,29.104010666963095,31.707957007309695,34.56136557132788,36.573157718185506,38.79523235323211,43.44748531494322,46.323002916028294,47.87768348019509,48.382990430529205,47.090499165401106,43.48588410906651,39.49705493338058,36.336564334632655,34.07711452732456,31.3575530760739,29.239895519011547,26.941362348774817,46.74450856292466,48.39757276998942,50.62893852779345,51.36258806293192,49.824564875634955,49.959879739364915,49.324522008730575,47.150920946949185,43.643543425085554,40.69683614317449,45.83709576192785,46.64269173996832,48.24234856465484,50.18059475729302,49.92650936421559,49.46442834852438,48.819216060397835,48.59014680379538,48.055321445552956,46.467756059613286,51.99170573352983,50.20893139877933,43.83902575083367,45.68138754601723,46.65907589891332,41.9944530656257,46.39181720638282,46.772161135867535,41.33470935192427,42.57780064873831,42.331339660148224,59.91906599950099,57.522827950698115,54.76589636528655,54.94052417093347,53.762042624777486,54.76275179086554,54.80989541178893,53.641165183372,54.41988673500795,54.19500362650149,54.75051285858501,56.401847064430825,59.31940318209018,59.32132283920841,58.88824110521452,57.82420066444169,54.775933901008116,49.20132562564499,49.41532630653057,49.701573171699046
3,frame 3 - 4,22.0164948281515,23.265878560815757,25.169988058251608,26.22413316672317,27.44307455472623,30.54826857254082,32.94036757063614,33.550203227334265,33.90286171391262,33.41436942177942,31.76506763796399,29.452855801138764,28.13842611979625,26.749879691158792,24.375486714105325,22.723271468344674,21.223632056163904,33.57325762539598,34.9495730578811,36.73286296568539,37.128632400059395,35.48520579178442,33.75047326830426,33.84178904937964,32.86847150512222,30.701552885297154,28.013710788821566,30.58825664648817,31.593718434667682,33.05652765477856,34.95904538612122,34.82557623671214,34.61914942855601,33.89777909389225,34.2150345590967,34.09642621721919,29.963150779373752,31.972535549531337,31.613471538527747,28.49673457036386,29.448977670689313,30.31428362562737,27.003164985709326,27.059567334100283,28.017524053620374,25.43281443582482,26.80269569713682,26.91904040160006,42.81207100703054,40.49461116865778,37.68340072467621,38.154774945219195,37.53168166184587,40.36476368103927,42.999458502533564,42.67661059647098,42.190385240829755,41.24599133081624,41.212139102790005,41.26536857145066,42.02891337606979,42.88906839776068,42.424202420117965,42.409573072469485,42.41186119817716,36.801457098896435,36.33501360834463,36.24909931038933
4,frame 4 - 5,8.541769936532265,8.952032667997203,10.027854041281278,11.228307395006382,12.789973306981809,14.406919026522923,15.77816505255811,16.393519067875083,16.729332838609345,16.982576314204803,15.099152250720685,13.084102696595629,11.88570311539924,11.001745521219828,10.343095541506157,9.996391525145347,9.281914858013712,12.933407826711763,13.765611262449138,14.731293873946704,15.589816853948049,16.84218940677666,14.618185879150747,13.693532191046247,13.580675988132937,12.893459141204273,11.831405719792441,16.71829222133643,17.351686725377682,18.089561866466248,19.11262681028453,18.185308544894937,18.517926560509387,19.203001494723843,18.859964966098275,18.670074993897156,16.323739262112408,17.566310635937075,16.750408505739514,16.527944298887245,17.089095946961397,17.731190730364187,14.243435724215464,14.488169992488551,14.035982997811818,12.921805114006563,13.699205199856774,14.278485303489106,19.564721599184754,18.879836551370634,19.73280778267756,19.624019075518135,18.70533730325798,17.847061021740863,16.264013667897892,20.14184536172892,22.110884275039098,22.607220959391935,22.653504919489343,21.72339512349784,20.171917474853476,19.613179592394445,19.652575872148446,19.448088322043013,16.584729555765136,21.419074082688578,21.720999101862727,22.134423053734555
